prompt_count,trials,mean_without_cache_seconds,mean_with_cache_seconds,mean_seconds_saved,speedup,time_reduction_percent
1,3,0.0609617906678371,0.060308246000204235,0.0006535446676328646,1.0108367381075989,1.0720562182857107
3,3,0.18087934533226266,0.081611167001635,0.09926817833062766,2.2163553344193563,54.88088103607352
5,3,0.3016666153319723,0.10118344399961643,0.20048317133235588,2.981383153286578,66.45852114319378
10,3,0.6044138480004525,0.15278673200009507,0.45162711600035743,3.9559315137395332,74.72150373365028
