frame_number,timestamp_seconds,tracker_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y
1,0.0,1,2,car,0.7819492816925049,1601.0980224609375,238.15237426757812,1827.3211669921875,457.03070068359375,1714.2095947265625,347.59153747558594
1,0.0,2,2,car,0.7771304249763489,1283.892333984375,255.692138671875,1512.2138671875,470.56658935546875,1398.0531005859375,363.1293640136719
1,0.0,3,0,person,0.7562780380249023,637.8103637695312,558.5594482421875,737.677001953125,735.5289306640625,687.7436828613281,647.044189453125
1,0.0,4,2,car,0.7545087337493896,1720.2718505859375,34.0015869140625,1919.1273193359375,246.75718688964844,1819.6995849609375,140.37938690185547
1,0.0,5,2,car,0.7390527725219727,1378.154296875,83.31062316894531,1591.5234375,287.138671875,1484.8388671875,185.22464752197266
1,0.0,6,0,person,0.6726357340812683,109.33740234375,226.56761169433594,190.71578979492188,385.6109619140625,150.02659606933594,306.0892868041992
1,0.0,7,0,person,0.6722238063812256,1792.295654296875,576.0762939453125,1892.2430419921875,746.4088134765625,1842.2693481445312,661.2425537109375
1,0.0,8,2,car,0.6400450468063354,1018.630615234375,194.26025390625,1254.8955078125,450.6153259277344,1136.7630615234375,322.4377899169922
1,0.0,9,0,person,0.6196653842926025,1447.3560791015625,431.1980895996094,1574.371826171875,618.83984375,1510.8639526367188,525.0189666748047
1,0.0,10,0,person,0.5928854942321777,1629.1083984375,558.0528564453125,1715.398681640625,742.4237060546875,1672.2535400390625,650.23828125
1,0.0,11,0,person,0.5909963250160217,722.1359252929688,525.3480834960938,804.5403442382812,699.544189453125,763.338134765625,612.4461364746094
1,0.0,12,0,person,0.5372937917709351,240.20663452148438,462.4893493652344,313.728271484375,621.8663330078125,276.9674530029297,542.1778411865234
1,0.0,13,2,car,0.5233544707298279,1502.09716796875,1.405242919921875,1701.8836669921875,111.13909912109375,1601.9904174804688,56.27217102050781
1,0.0,14,9,traffic light,0.5144519805908203,1797.269287109375,804.849365234375,1838.29736328125,913.231689453125,1817.7833251953125,859.04052734375
1,0.0,15,2,car,0.5022804737091064,679.2559204101562,259.630126953125,939.5423583984375,518.0025634765625,809.3991394042969,388.81634521484375
1,0.0,16,0,person,0.5003374814987183,608.1242065429688,505.03692626953125,665.8223876953125,690.5928955078125,636.9732971191406,597.8149108886719
1,0.0,17,0,person,0.5000269412994385,97.29338836669922,410.5644836425781,176.85128784179688,578.8463134765625,137.07233810424805,494.7053985595703
2,0.03333333333333333,2,2,car,0.780734658241272,1280.3046875,256.06732177734375,1510.701171875,471.4332275390625,1395.5029296875,363.7502746582031
2,0.03333333333333333,4,2,car,0.7563707232475281,1720.875732421875,33.896209716796875,1919.2554931640625,246.45872497558594,1820.0656127929688,140.1774673461914
2,0.03333333333333333,1,2,car,0.7499083280563354,1600.74609375,238.98565673828125,1827.038818359375,458.1966247558594,1713.8924560546875,348.5911407470703
2,0.03333333333333333,5,2,car,0.7373925447463989,1377.87158203125,83.7718505859375,1591.9052734375,288.07257080078125,1484.888427734375,185.92221069335938
2,0.03333333333333333,8,2,car,0.7162042260169983,1017.0404663085938,193.44351196289062,1256.734375,447.0323181152344,1136.8874206542969,320.2379150390625
2,0.03333333333333333,16,0,person,0.6686877608299255,600.979736328125,551.7894287109375,665.0413818359375,729.4183959960938,633.0105590820312,640.6039123535156
2,0.03333333333333333,6,0,person,0.6532787084579468,124.08808135986328,221.50222778320312,199.86773681640625,384.05401611328125,161.97790908813477,302.7781219482422
2,0.03333333333333333,15,2,car,0.5791635513305664,680.1910400390625,272.22564697265625,938.8626708984375,522.7369995117188,809.52685546875,397.4813232421875
2,0.03333333333333333,3,0,person,0.5273109674453735,649.7623901367188,502.34326171875,721.7947998046875,688.9384765625,685.7785949707031,595.640869140625
2,0.03333333333333333,13,2,car,0.5249707102775574,1502.084228515625,1.3876876831054688,1701.5908203125,111.46812438964844,1601.8375244140625,56.42790603637695
3,0.06666666666666667,4,2,car,0.7634277939796448,1720.8936767578125,33.64979553222656,1919.2576904296875,246.11521911621094,1820.07568359375,139.88250732421875
3,0.06666666666666667,6,0,person,0.7462019324302673,134.4305419921875,219.40342712402344,211.7805633544922,380.723876953125,173.10555267333984,300.0636520385742
